,Predicted_SMP
2024-01-01 00:00:00,103.35762
2024-01-01 01:00:00,96.76338
2024-01-01 02:00:00,92.28314
2024-01-01 03:00:00,89.755684
2024-01-01 04:00:00,93.293724
2024-01-01 05:00:00,93.72807
2024-01-01 06:00:00,108.07796
2024-01-01 07:00:00,111.510124
2024-01-01 08:00:00,114.11885
2024-01-01 09:00:00,117.896675
2024-01-01 10:00:00,115.31705
2024-01-01 11:00:00,113.873955
2024-01-01 12:00:00,112.400925
2024-01-01 13:00:00,115.1564
2024-01-01 14:00:00,110.83752
2024-01-01 15:00:00,117.82189
2024-01-01 16:00:00,122.89588
2024-01-01 17:00:00,118.08587
2024-01-01 18:00:00,117.88954
2024-01-01 19:00:00,121.45557
2024-01-01 20:00:00,115.3741
2024-01-01 21:00:00,117.11686
2024-01-01 22:00:00,114.928764
2024-01-01 23:00:00,113.94589
2024-01-02 00:00:00,107.66663
2024-01-02 01:00:00,104.35916
2024-01-02 02:00:00,101.51589
2024-01-02 03:00:00,101.528694
2024-01-02 04:00:00,100.13995
2024-01-02 05:00:00,106.67216
2024-01-02 06:00:00,105.64127
2024-01-02 07:00:00,111.17638
2024-01-02 08:00:00,114.019066
2024-01-02 09:00:00,121.27868
2024-01-02 10:00:00,117.32196
2024-01-02 11:00:00,115.6871
2024-01-02 12:00:00,109.93301
2024-01-02 13:00:00,116.44164
2024-01-02 14:00:00,113.65509
2024-01-02 15:00:00,119.15283
2024-01-02 16:00:00,114.784744
2024-01-02 17:00:00,116.07063
2024-01-02 18:00:00,120.261
2024-01-02 19:00:00,117.22955
2024-01-02 20:00:00,119.35678
2024-01-02 21:00:00,117.37302
2024-01-02 22:00:00,114.00952
2024-01-02 23:00:00,109.85772
2024-01-03 00:00:00,107.3502
2024-01-03 01:00:00,105.202866
2024-01-03 02:00:00,105.85489
2024-01-03 03:00:00,105.21592
2024-01-03 04:00:00,105.54499
2024-01-03 05:00:00,106.93738
2024-01-03 06:00:00,108.929504
2024-01-03 07:00:00,113.975914
2024-01-03 08:00:00,116.64731
2024-01-03 09:00:00,117.29798
2024-01-03 10:00:00,115.92369
2024-01-03 11:00:00,114.487114
2024-01-03 12:00:00,114.087425
2024-01-03 13:00:00,116.35639
2024-01-03 14:00:00,119.745476
2024-01-03 15:00:00,116.13395
2024-01-03 16:00:00,119.85338
2024-01-03 17:00:00,120.738785
2024-01-03 18:00:00,120.617325
2024-01-03 19:00:00,119.66859
2024-01-03 20:00:00,117.672646
2024-01-03 21:00:00,116.270706
2024-01-03 22:00:00,118.38005
2024-01-03 23:00:00,116.321045
2024-01-04 00:00:00,212.97876
2024-01-04 01:00:00,163.58076
2024-01-04 02:00:00,151.47469
2024-01-04 03:00:00,160.82733
2024-01-04 04:00:00,158.85628
2024-01-04 05:00:00,186.1087
2024-01-04 06:00:00,173.6642
2024-01-04 07:00:00,204.57751
2024-01-04 08:00:00,212.74614
2024-01-04 09:00:00,209.85269
2024-01-04 10:00:00,226.18942
2024-01-04 11:00:00,219.50375
2024-01-04 12:00:00,199.73108
2024-01-04 13:00:00,234.77899
2024-01-04 14:00:00,202.43472
2024-01-04 15:00:00,188.14284
2024-01-04 16:00:00,207.90187
2024-01-04 17:00:00,209.33246
2024-01-04 18:00:00,226.6781
2024-01-04 19:00:00,199.51819
2024-01-04 20:00:00,211.76228
2024-01-04 21:00:00,205.90906
2024-01-04 22:00:00,208.72371
2024-01-04 23:00:00,205.71208
2024-01-05 00:00:00,194.65501
2024-01-05 01:00:00,188.84554
2024-01-05 02:00:00,175.10733
2024-01-05 03:00:00,158.56381
2024-01-05 04:00:00,171.723
2024-01-05 05:00:00,183.19437
2024-01-05 06:00:00,194.60362
2024-01-05 07:00:00,204.47755
2024-01-05 08:00:00,206.28305
2024-01-05 09:00:00,211.50923
2024-01-05 10:00:00,182.8659
2024-01-05 11:00:00,219.60487
2024-01-05 12:00:00,220.64264
2024-01-05 13:00:00,194.61707
2024-01-05 14:00:00,212.79846
2024-01-05 15:00:00,212.05312
2024-01-05 16:00:00,217.88496
2024-01-05 17:00:00,197.38527
2024-01-05 18:00:00,198.1759
2024-01-05 19:00:00,218.5607
2024-01-05 20:00:00,203.92834
2024-01-05 21:00:00,198.66577
2024-01-05 22:00:00,209.99951
2024-01-05 23:00:00,198.69992
2024-01-06 00:00:00,189.28381
2024-01-06 01:00:00,180.35764
2024-01-06 02:00:00,172.7877
2024-01-06 03:00:00,152.77739
2024-01-06 04:00:00,162.45052
2024-01-06 05:00:00,169.13478
2024-01-06 06:00:00,177.0318
2024-01-06 07:00:00,182.32549
2024-01-06 08:00:00,172.31432
2024-01-06 09:00:00,169.08855
2024-01-06 10:00:00,172.00064
2024-01-06 11:00:00,182.93839
2024-01-06 12:00:00,164.36946
2024-01-06 13:00:00,169.23236
2024-01-06 14:00:00,149.29022
2024-01-06 15:00:00,161.41408
2024-01-06 16:00:00,172.37695
2024-01-06 17:00:00,186.55193
2024-01-06 18:00:00,215.97562
2024-01-06 19:00:00,188.44731
2024-01-06 20:00:00,197.21338
2024-01-06 21:00:00,180.00049
2024-01-06 22:00:00,194.97244
2024-01-06 23:00:00,187.16913
2024-01-07 00:00:00,176.50711
2024-01-07 01:00:00,169.28218
2024-01-07 02:00:00,145.70744
2024-01-07 03:00:00,143.0062
2024-01-07 04:00:00,138.33203
2024-01-07 05:00:00,158.14247
2024-01-07 06:00:00,162.48125
2024-01-07 07:00:00,153.49998
2024-01-07 08:00:00,133.37459
2024-01-07 09:00:00,135.04047
2024-01-07 10:00:00,128.10045
2024-01-07 11:00:00,132.41801
2024-01-07 12:00:00,120.19839
2024-01-07 13:00:00,127.69823
2024-01-07 14:00:00,151.0667
2024-01-07 15:00:00,147.88113
2024-01-07 16:00:00,157.8531
2024-01-07 17:00:00,170.63968
2024-01-07 18:00:00,182.96245
2024-01-07 19:00:00,182.82878
2024-01-07 20:00:00,190.10971
2024-01-07 21:00:00,186.89029
2024-01-07 22:00:00,182.99037
2024-01-07 23:00:00,191.43797
2024-01-08 00:00:00,172.85579
2024-01-08 01:00:00,147.0164
2024-01-08 02:00:00,140.0004
2024-01-08 03:00:00,139.3599
2024-01-08 04:00:00,148.27872
2024-01-08 05:00:00,133.05632
2024-01-08 06:00:00,174.81425
2024-01-08 07:00:00,180.23294
2024-01-08 08:00:00,189.21944
2024-01-08 09:00:00,214.00041
2024-01-08 10:00:00,206.75365
2024-01-08 11:00:00,201.2069
2024-01-08 12:00:00,197.88289
2024-01-08 13:00:00,208.83974
2024-01-08 14:00:00,202.27919
2024-01-08 15:00:00,195.03687
2024-01-08 16:00:00,217.82704
2024-01-08 17:00:00,208.79277
2024-01-08 18:00:00,202.08621
2024-01-08 19:00:00,205.41682
2024-01-08 20:00:00,201.14775
2024-01-08 21:00:00,210.11624
2024-01-08 22:00:00,194.88
2024-01-08 23:00:00,197.84126
2024-01-09 00:00:00,178.51085
2024-01-09 01:00:00,159.83241
2024-01-09 02:00:00,151.96426
2024-01-09 03:00:00,149.33932
2024-01-09 04:00:00,155.16144
2024-01-09 05:00:00,182.05249
2024-01-09 06:00:00,179.93214
2024-01-09 07:00:00,195.69643
2024-01-09 08:00:00,201.81174
2024-01-09 09:00:00,205.66498
2024-01-09 10:00:00,208.42598
2024-01-09 11:00:00,215.0065
2024-01-09 12:00:00,208.5055
2024-01-09 13:00:00,202.69673
2024-01-09 14:00:00,212.73976
2024-01-09 15:00:00,207.48988
2024-01-09 16:00:00,205.30182
2024-01-09 17:00:00,206.75389
2024-01-09 18:00:00,210.75417
2024-01-09 19:00:00,203.89026
2024-01-09 20:00:00,216.66982
2024-01-09 21:00:00,212.17062
2024-01-09 22:00:00,194.21301
2024-01-09 23:00:00,190.91486
2024-01-10 00:00:00,209.46275
2024-01-10 01:00:00,173.02715
2024-01-10 02:00:00,163.14848
2024-01-10 03:00:00,166.58955
2024-01-10 04:00:00,153.40958
2024-01-10 05:00:00,174.44783
2024-01-10 06:00:00,186.78911
2024-01-10 07:00:00,218.26202
2024-01-10 08:00:00,192.1562
2024-01-10 09:00:00,218.99338
2024-01-10 10:00:00,199.01929
2024-01-10 11:00:00,217.06082
2024-01-10 12:00:00,198.9725
2024-01-10 13:00:00,197.58438
2024-01-10 14:00:00,202.82234
2024-01-10 15:00:00,209.94061
2024-01-10 16:00:00,213.3788
2024-01-10 17:00:00,205.1817
2024-01-10 18:00:00,206.39247
2024-01-10 19:00:00,206.75746
2024-01-10 20:00:00,195.27512
2024-01-10 21:00:00,198.94537
2024-01-10 22:00:00,206.25732
2024-01-10 23:00:00,201.21648
2024-01-11 00:00:00,212.97658
2024-01-11 01:00:00,163.5791
2024-01-11 02:00:00,151.47371
2024-01-11 03:00:00,160.82591
2024-01-11 04:00:00,158.85446
2024-01-11 05:00:00,186.10768
2024-01-11 06:00:00,173.66293
2024-01-11 07:00:00,204.57454
2024-01-11 08:00:00,212.74443
2024-01-11 09:00:00,209.85051
2024-01-11 10:00:00,226.1874
2024-01-11 11:00:00,219.5013
2024-01-11 12:00:00,199.73036
2024-01-11 13:00:00,234.77647
2024-01-11 14:00:00,202.43335
2024-01-11 15:00:00,188.14058
2024-01-11 16:00:00,207.90079
2024-01-11 17:00:00,209.33058
2024-01-11 18:00:00,226.67601
2024-01-11 19:00:00,199.51698
2024-01-11 20:00:00,211.76028
2024-01-11 21:00:00,205.90794
2024-01-11 22:00:00,208.7226
2024-01-11 23:00:00,205.71031
2024-01-12 00:00:00,194.6539
2024-01-12 01:00:00,188.84372
2024-01-12 02:00:00,175.10625
2024-01-12 03:00:00,158.56339
2024-01-12 04:00:00,171.72163
2024-01-12 05:00:00,183.19337
2024-01-12 06:00:00,194.6025
2024-01-12 07:00:00,204.47562
2024-01-12 08:00:00,206.28233
2024-01-12 09:00:00,211.50786
2024-01-12 10:00:00,182.86433
2024-01-12 11:00:00,219.60333
2024-01-12 12:00:00,220.64136
2024-01-12 13:00:00,194.61641
2024-01-12 14:00:00,212.7974
2024-01-12 15:00:00,212.05077
2024-01-12 16:00:00,217.88394
2024-01-12 17:00:00,197.38431
2024-01-12 18:00:00,198.17465
2024-01-12 19:00:00,218.55939
2024-01-12 20:00:00,203.92728
2024-01-12 21:00:00,198.66435
2024-01-12 22:00:00,209.99838
2024-01-12 23:00:00,198.69858
2024-01-13 00:00:00,189.28346
2024-01-13 01:00:00,180.35649
2024-01-13 02:00:00,172.78722
2024-01-13 03:00:00,152.77539
2024-01-13 04:00:00,162.44926
2024-01-13 05:00:00,169.13397
2024-01-13 06:00:00,177.03116
2024-01-13 07:00:00,182.32448
2024-01-13 08:00:00,172.31252
2024-01-13 09:00:00,169.08682
2024-01-13 10:00:00,171.99927
2024-01-13 11:00:00,182.93668
2024-01-13 12:00:00,164.36868
2024-01-13 13:00:00,169.23085
2024-01-13 14:00:00,149.28934
2024-01-13 15:00:00,161.41246
2024-01-13 16:00:00,172.37602
2024-01-13 17:00:00,186.55107
2024-01-13 18:00:00,215.97415
2024-01-13 19:00:00,188.44702
2024-01-13 20:00:00,197.21176
2024-01-13 21:00:00,179.999
2024-01-13 22:00:00,194.97029
2024-01-13 23:00:00,187.16829
2024-01-14 00:00:00,176.50714
2024-01-14 01:00:00,169.28102
2024-01-14 02:00:00,145.70726
2024-01-14 03:00:00,143.00629
2024-01-14 04:00:00,138.33173
2024-01-14 05:00:00,158.14182
2024-01-14 06:00:00,162.48102
2024-01-14 07:00:00,153.50085
2024-01-14 08:00:00,133.37389
2024-01-14 09:00:00,135.03896
2024-01-14 10:00:00,128.09943
2024-01-14 11:00:00,132.41748
2024-01-14 12:00:00,120.19686
2024-01-14 13:00:00,127.696266
2024-01-14 14:00:00,151.06543
2024-01-14 15:00:00,147.88008
