energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.21,0.79,0.8774964387392122,1,5798550,1638750210
4000,1000,0.16,0.84,0.8774964387392122,1,8957760,2846821450
6000,1000,0.12,0.88,0.8831760866327847,0,12090310,4058945010
8000,1000,0.1,0.9,0.8888194417315589,0,15196200,5240516210
10000,1000,0.1,0.9,0.8888194417315589,0,18275430,6426966190
20000,10000,0.21,0.79,0.8774964387392122,1,41056400,14763374900
24000,1000,0.1,0.9,0.8888194417315589,0,39563440,14632620930
40000,10000,0.16,0.84,0.8774964387392122,1,65317000,26266365100
60000,10000,0.12,0.88,0.8831760866327847,0,89444300,37665114700
80000,10000,0.11,0.89,0.8888194417315589,0,113038400,49014276700
100000,1000,0.1,0.9,0.8944271909999159,0,152041980,58099244890
100000,10000,0.1,0.9,0.8888194417315589,0,136632500,60515134100
200000,100000,0.21,0.79,0.8774964387392122,1,437224000,137426968000
240000,10000,0.1,0.9,0.8888194417315589,0,299925000,138271956700
400000,100000,0.16,0.84,0.8774964387392122,1,703824000,246964910000
600000,100000,0.12,0.88,0.8831760866327847,0,967758000,355591080000
800000,100000,0.11,0.89,0.8888194417315589,0,1230359000,463998638000
1000000,10000,0.1,0.9,0.8944271909999159,0,1162242700,550444621100
1000000,100000,0.1,0.9,0.8888194417315589,0,1490294000,571443770000
