energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.21,0.79,0.8774964387392122,1,4745480,1400796380
4000,1000,0.16,0.84,0.8774964387392122,1,7331500,2444588700
6000,1000,0.12,0.88,0.8831760866327847,0,9890860,3493046520
8000,1000,0.1,0.9,0.8888194417315589,0,12436890,4515377540
10000,1000,0.1,0.9,0.8888194417315589,0,14942930,5541201020
20000,10000,0.21,0.79,0.8774964387392122,1,33591600,12647770600
24000,1000,0.1,0.9,0.8888194417315589,0,32378570,12638359620
40000,10000,0.16,0.84,0.8774964387392122,1,53453300,22591150800
60000,10000,0.12,0.88,0.8831760866327847,0,73181700,32448152600
80000,10000,0.11,0.89,0.8888194417315589,0,92510200,42263031600
100000,1000,0.1,0.9,0.8944271909999159,0,124408890,50236157820
100000,10000,0.1,0.9,0.8888194417315589,0,111838700,52212810200
200000,100000,0.21,0.79,0.8774964387392122,1,357244000,117853196000
240000,10000,0.1,0.9,0.8888194417315589,0,245405300,119463993200
400000,100000,0.16,0.84,0.8774964387392122,1,575856000,212506860000
600000,100000,0.12,0.88,0.8831760866327847,0,791802000,306478028000
800000,100000,0.11,0.89,0.8888194417315589,0,1006415000,400225252000
1000000,10000,0.1,0.9,0.8944271909999159,0,950962200,475916191200
1000000,100000,0.1,0.9,0.8888194417315589,0,1219695000,493154014000
