ecr,por,soc_min,soc_max,eff,rest,opex,capex
2000,1000,0.21,0.79,0.88,0,5278680,1519713310
4000,1000,0.16,0.84,0.88,0,8144630,2645645090
6000,1000,0.12,0.88,0.88,0,10983920,3775949110
8000,1000,0.1,0.9,0.88,0,13809880,4877940210
20000,10000,0.21,0.79,0.88,0,37324000,13705506100
40000,10000,0.16,0.84,0.88,0,59451800,24428957900
60000,10000,0.12,0.88,0.88,0,81313000,35056966900
80000,10000,0.11,0.89,0.88,0,102774300,45638054300
200000,100000,0.21,0.79,0.88,0,397234000,127645414000
400000,100000,0.16,0.84,0.88,0,639840000,229742550000
600000,100000,0.12,0.88,0.88,0,879780000,331039886000
800000,100000,0.11,0.89,0.88,0,1118387000,432118610000
