energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.21,0.79,0.8774964387392122,1,5278680,1371483710
4000,1000,0.16,0.84,0.8774964387392122,1,8144630,2361262870
6000,1000,0.12,0.88,0.8831760866327847,0,10983920,3363119010
8000,1000,0.1,0.9,0.8888194417315589,0,13809880,4364495270
10000,1000,0.1,0.9,0.8888194417315589,0,16609180,5342810630
20000,10000,0.21,0.79,0.8774964387392122,1,37324000,12454752200
24000,1000,0.1,0.9,0.8888194417315589,0,35977670,12186685900
40000,10000,0.16,0.84,0.8774964387392122,1,59451800,21833473600
60000,10000,0.12,0.88,0.8831760866327847,0,81313000,31342295800
80000,10000,0.11,0.89,0.8888194417315589,0,102774300,40788200400
100000,1000,0.1,0.9,0.8944271909999159,0,138218770,48217555930
100000,10000,0.1,0.9,0.8888194417315589,0,124235600,50182118000
200000,100000,0.21,0.79,0.8774964387392122,1,397234000,115491120000
240000,10000,0.1,0.9,0.8888194417315589,0,272731800,115046964400
400000,100000,0.16,0.84,0.8774964387392122,1,639840000,205078051000
600000,100000,0.12,0.88,0.8831760866327847,0,879780000,296383219000
800000,100000,0.11,0.89,0.8888194417315589,0,1118387000,385486271000
1000000,10000,0.1,0.9,0.8944271909999159,0,1056669100,458026798000
1000000,100000,0.1,0.9,0.8888194417315589,0,1355661000,474997221000
