energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9110433579144299,3,4638840,1526258340
4000,1000,0.1,0.9,0.9110433579144299,1,8024660,2700578020
6000,1000,0.1,0.9,0.9110433579144299,0,10237440,3883348920
8000,1000,0.1,0.9,0.9110433579144299,0,12836790,5064493560
10000,1000,0.1,0.9,0.9110433579144299,0,15529450,6241372600
20000,10000,0.1,0.9,0.9110433579144299,3,40923100,13261883700
24000,1000,0.1,0.9,0.9110433579144299,0,34164790,14429831640
40000,10000,0.1,0.9,0.9110433579144299,1,67316500,23734065000
60000,10000,0.1,0.9,0.9110433579144299,0,93310000,34470980100
80000,10000,0.1,0.9,0.9110433579144299,0,119036900,45023807900
100000,1000,0.1,0.9,0.9110433579144299,0,132660160,58290757000
100000,10000,0.1,0.9,0.9110433579144299,0,144763800,55617425500
200000,100000,0.1,0.9,0.9110433579144299,3,374573000,124048980000
240000,10000,0.1,0.9,0.9110433579144299,0,322186100,129261943100
400000,100000,0.1,0.9,0.9110433579144299,1,625177000,218601336000
600000,100000,0.1,0.9,0.9110433579144299,0,873115000,316436871000
800000,100000,0.1,0.9,0.9110433579144299,0,1119720000,413968482000
1000000,10000,0.1,0.9,0.9110433579144299,0,1260751400,523423111500
1000000,100000,0.1,0.9,0.9110433579144299,0,1367658000,511850672000
