energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9219544457292888,3,3225860,948389510
4000,1000,0.1,0.9,0.9219544457292888,1,5132050,1650467280
6000,1000,0.1,0.9,0.9219544457292888,0,7038240,2364915290
8000,1000,0.1,0.9,0.9219544457292888,0,8917770,3077217170
10000,1000,0.1,0.9,0.9219544457292888,0,10783970,3793304770
20000,10000,0.1,0.9,0.9219544457292888,3,28392900,8148762300
24000,1000,0.1,0.9,0.9219544457292888,0,23714070,8746092930
40000,10000,0.1,0.9,0.9219544457292888,1,46655000,14335881800
60000,10000,0.1,0.9,0.9219544457292888,0,64783800,20689359700
80000,10000,0.1,0.9,0.9219544457292888,0,82779300,26902472700
100000,1000,0.1,0.9,0.9219544457292888,0,92096970,35335017370
100000,10000,0.1,0.9,0.9219544457292888,0,100508200,33235022500
200000,100000,0.1,0.9,0.9219544457292888,3,259935000,76243601000
240000,10000,0.1,0.9,0.9219544457292888,0,223677400,76971019100
400000,100000,0.1,0.9,0.9219544457292888,1,434558000,131000575000
600000,100000,0.1,0.9,0.9219544457292888,0,605182000,188295581000
800000,100000,0.1,0.9,0.9219544457292888,0,777139000,245185355000
1000000,10000,0.1,0.9,0.9219544457292888,0,875247800,311428123500
1000000,100000,0.1,0.9,0.9219544457292888,0,946430000,302869597000
