ecr,por,soc_min,soc_max,eff,rest,opex,capex
2000,1000,0.1,0.9,0.95,3,3585770,1118240370
4000,1000,0.1,0.9,0.95,2,5705240,1949379200
6000,1000,0.1,0.9,0.95,1,7811380,2794394560
8000,1000,0.1,0.9,0.95,0,9904190,3636717260
20000,10000,0.1,0.9,0.95,3,31592100,9609063800
40000,10000,0.1,0.9,0.95,2,51853700,16930299700
60000,10000,0.1,0.9,0.95,1,71982000,24437355800
80000,10000,0.1,0.9,0.95,0,91977000,31788717500
200000,100000,0.1,0.9,0.95,3,289261000,89946841000
400000,100000,0.1,0.9,0.95,2,482546000,154947920000
600000,100000,0.1,0.9,0.95,1,673165000,222829612000
800000,100000,0.1,0.9,0.95,0,863784000,290252752000
