ecr,por,soc_min,soc_max,eff,rest,opex,capex
2000,1000,0.1,0.9,0.97,3,3225860,948389510
4000,1000,0.1,0.9,0.97,2,5132050,1650467280
6000,1000,0.1,0.9,0.97,1,7038240,2364915290
8000,1000,0.1,0.9,0.97,0,8917770,3077217170
20000,10000,0.1,0.9,0.97,3,28392900,8148762300
40000,10000,0.1,0.9,0.97,2,46655000,14335881800
60000,10000,0.1,0.9,0.97,1,64783800,20689359700
80000,10000,0.1,0.9,0.97,0,82779300,26902472700
200000,100000,0.1,0.9,0.97,3,259935000,76243601000
400000,100000,0.1,0.9,0.97,2,434558000,131000575000
600000,100000,0.1,0.9,0.97,1,605182000,188295581000
800000,100000,0.1,0.9,0.97,0,777139000,245185355000
