ecr,por,soc_min,soc_max,eff,rest,opex,capex
2000,1000,0.1,0.9,0.93,3,3972340,1270988840
4000,1000,0.1,0.9,0.93,2,6331750,2224097170
6000,1000,0.1,0.9,0.93,1,8677830,3192934900
8000,1000,0.1,0.9,0.93,0,10997250,4158853360
20000,10000,0.1,0.9,0.93,3,35057900,10917403300
40000,10000,0.1,0.9,0.93,2,57585600,19313570400
60000,10000,0.1,0.9,0.93,1,79846700,27919818300
80000,10000,0.1,0.9,0.93,0,102107800,36350376800
200000,100000,0.1,0.9,0.93,3,321253000,102282423000
400000,100000,0.1,0.9,0.93,2,535865999,176842445000
600000,100000,0.1,0.9,0.93,1,747813000,254729635000
800000,100000,0.1,0.9,0.93,0,958427000,332099621000
