energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9219544457292888,3,3585770,1118240370
4000,1000,0.1,0.9,0.9219544457292888,1,5705240,1949379200
6000,1000,0.1,0.9,0.9219544457292888,0,7811380,2794394560
8000,1000,0.1,0.9,0.9219544457292888,0,9904190,3636717260
10000,1000,0.1,0.9,0.9219544457292888,0,11983670,4483705460
20000,10000,0.1,0.9,0.9219544457292888,3,31592100,9609063800
24000,1000,0.1,0.9,0.9219544457292888,0,26353410,10340747500
40000,10000,0.1,0.9,0.9219544457292888,1,51853700,16930299700
60000,10000,0.1,0.9,0.9219544457292888,0,71982000,24437355800
80000,10000,0.1,0.9,0.9219544457292888,0,91977000,31788717500
100000,1000,0.1,0.9,0.9219544457292888,0,102321080,41784777860
100000,10000,0.1,0.9,0.9219544457292888,0,111705400,39268447100
200000,100000,0.1,0.9,0.9219544457292888,3,289261000,89946841000
240000,10000,0.1,0.9,0.9219544457292888,0,248604500,90961120700
400000,100000,0.1,0.9,0.9219544457292888,1,482546000,154947920000
600000,100000,0.1,0.9,0.9219544457292888,0,673165000,222829612000
800000,100000,0.1,0.9,0.9219544457292888,0,863784000,290252752000
1000000,10000,0.1,0.9,0.9219544457292888,0,972423500,368068893100
1000000,100000,0.1,0.9,0.9219544457292888,0,1051737000,358577000000
