energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9110433579144299,3,4132300,1346783220
4000,1000,0.1,0.9,0.9110433579144299,1,6731650,2402359260
6000,1000,0.1,0.9,0.9110433579144299,0,9277680,3463853820
8000,1000,0.1,0.9,0.9110433579144299,0,11810380,4526814680
10000,1000,0.1,0.9,0.9110433579144299,0,14329750,5580204600
20000,10000,0.1,0.9,0.9110433579144299,3,36657500,11823843300
24000,1000,0.1,0.9,0.9110433579144299,0,31765390,12932606040
40000,10000,0.1,0.9,0.9110433579144299,1,61318000,21330532700
60000,10000,0.1,0.9,0.9110433579144299,0,85711900,31047569500
80000,10000,0.1,0.9,0.9110433579144299,0,109839200,40610378200
100000,1000,0.1,0.9,0.9110433579144299,0,124022320,52278927000
100000,10000,0.1,0.9,0.9110433579144299,0,133833199,50207978200
200000,100000,0.1,0.9,0.9110433579144299,3,337248999,111560103000
240000,10000,0.1,0.9,0.9110433579144299,0,299925000,116853712600
400000,100000,0.1,0.9,0.9110433579144299,1,570524000,198486366000
600000,100000,0.1,0.9,0.9110433579144299,0,802466000,287977321000
800000,100000,0.1,0.9,0.9110433579144299,0,1031742000,376903084000
1000000,10000,0.1,0.9,0.9110433579144299,0,1177838800,473382158200
1000000,100000,0.1,0.9,0.9110433579144299,0,1259684999,466390040000
