ecr,por,soc_min,soc_max,eff,rest,opex,capex
2000,1000,0.1,0.9,0.91,3,4598850,1496452460
4000,1000,0.1,0.9,0.91,2,7478130,2669252520
6000,1000,0.1,0.9,0.91,1,10304090,3848717580
8000,1000,0.1,0.9,0.91,0,13116720,5029675600
20000,10000,0.1,0.9,0.91,3,40789800,13137781400
40000,10000,0.1,0.9,0.91,2,68116300,23701539800
60000,10000,0.1,0.9,0.91,1,95176200,34496573700
80000,10000,0.1,0.9,0.91,0,121969500,45121650100
200000,100000,0.1,0.9,0.91,3,375906000,123959669000
400000,100000,0.1,0.9,0.91,2,634508000,220538185000
600000,100000,0.1,0.9,0.91,1,891777000,319986650000
800000,100000,0.1,0.9,0.91,0,1146380000,418789943000
