energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9219544457292888,3,4332250,1436520780
4000,1000,0.1,0.9,0.9219544457292888,1,7038240,2550308930
6000,1000,0.1,0.9,0.9219544457292888,0,9704240,3676414000
8000,1000,0.1,0.9,0.9219544457292888,0,12356910,4799013280
10000,1000,0.1,0.9,0.9219544457292888,0,1679580,5921159340
20000,10000,0.1,0.9,0.9219544457292888,3,38523700,12544996300
24000,1000,0.1,0.9,0.9219544457292888,0,33245020,13724994560
40000,10000,0.1,0.9,0.9219544457292888,1,64250600,22506372000
60000,10000,0.1,0.9,0.9219544457292888,0,89710900,32641037700
80000,10000,0.1,0.9,0.9219544457292888,0,114904599,42636804800
100000,1000,0.1,0.9,0.9219544457292888,0,129700900,55507826240
100000,10000,0.1,0.9,0.9219544457292888,0,140098300,52676960800
200000,100000,0.1,0.9,0.9219544457292888,3,353245000,118683655000
240000,10000,0.1,0.9,0.9219544457292888,0,314987900,122906865600
400000,100000,0.1,0.9,0.9219544457292888,1,597184000,209261005000
600000,100000,0.1,0.9,0.9219544457292888,0,839790000,302589667000
800000,100000,0.1,0.9,0.9219544457292888,0,1079730000,395806357000
1000000,10000,0.1,0.9,0.9219544457292888,0,1232491799,496771242800
1000000,100000,0.1,0.9,0.9219544457292888,0,1319670000,489393621000
