energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9219544457292888,3,3905690,1261191290
4000,1000,0.1,0.9,0.9219544457292888,1,6331750,2230855480
6000,1000,0.1,0.9,0.9219544457292888,0,8744480,3211650220
8000,1000,0.1,0.9,0.9219544457292888,0,11130550,4189219100
10000,1000,0.1,0.9,0.9219544457292888,0,1519620,5166601360
20000,10000,0.1,0.9,0.9219544457292888,3,34658000,11013246000
24000,1000,0.1,0.9,0.9219544457292888,0,29939180,11962741900
40000,10000,0.1,0.9,0.9219544457292888,1,57852200,19684810900
60000,10000,0.1,0.9,0.9219544457292888,0,80779799,28510737200
80000,10000,0.1,0.9,0.9219544457292888,0,103574100,37212427900
100000,1000,0.1,0.9,0.9219544457292888,0,116837450,48349802860
100000,10000,0.1,0.9,0.9219544457292888,0,126235100,45954775100
200000,100000,0.1,0.9,0.9219544457292888,3,317254000,104087305000
240000,10000,0.1,0.9,0.9219544457292888,0,283795700,107113881500
400000,100000,0.1,0.9,0.9219544457292888,1,538532000,182892932000
600000,100000,0.1,0.9,0.9219544457292888,0,755811000,264099292000
800000,100000,0.1,0.9,0.9219544457292888,0,973090000,345204344000
1000000,10000,0.1,0.9,0.9219544457292888,0,1110389000,432626083100
1000000,100000,0.1,0.9,0.9219544457292888,0,1189036000,426626650000
