energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.806225774829855,1,8277930,3390058940
4000,1000,0.1,0.9,0.806225774829855,0,11037240,4751585140
6000,1000,0.1,0.9,0.806225774829855,0,13783220,6316953700
8000,1000,0.1,0.9,0.806225774829855,0,16569190,7218834840
10000,1000,0.1,0.9,0.806225774829855,0,19341830,8224956580
20000,10000,0.1,0.9,0.806225774829855,1,71182200,29713103200
24000,1000,0.1,0.9,0.806225774829855,0,38830290,17164054580
40000,10000,0.1,0.9,0.806225774829855,0,97708900,42170654700
60000,10000,0.1,0.9,0.806225774829855,0,124102300,56140628000
80000,10000,0.1,0.9,0.806225774829855,0,150629000,64357106700
100000,1000,0.1,0.9,0.806225774829855,0,144550520,65840309140
100000,10000,0.1,0.9,0.806225774829855,0,187953000,74007760100
200000,100000,0.1,0.9,0.806225774829855,1,651836999,266606665000
240000,10000,0.1,0.9,0.806225774829855,0,362709300,155936472800
400000,100000,0.1,0.9,0.806225774829855,0,902441000,381152688000
600000,100000,0.1,0.9,0.806225774829855,0,1154378000,501578574000
800000,100000,0.1,0.9,0.806225774829855,0,1406315000,563976304000
1000000,10000,0.1,0.9,0.806225774829855,0,1370324000,601251516200
1000000,100000,0.1,0.9,0.806225774829855,0,1670249000,654308382000
