ecr,por,soc_min,soc_max,eff,rest,opex,capex
2000,1000,0.1,0.9,0.81,0,7531450,3081869340
4000,1000,0.1,0.9,0.81,0,10024160,4319613160
6000,1000,0.1,0.9,0.81,0,12530200,5742670640
8000,1000,0.1,0.9,0.81,0,15062900,6562518960
20000,10000,0.1,0.9,0.81,0,64650500,27012045300
40000,10000,0.1,0.9,0.81,0,88911100,38335880300
60000,10000,0.1,0.9,0.81,0,112905100,51036037800
80000,10000,0.1,0.9,0.81,0,136899100,58506436400
200000,100000,0.1,0.9,0.81,0,591852000,242367393000
400000,100000,0.1,0.9,0.81,0,821128000,346506685000
600000,100000,0.1,0.9,0.81,0,1050404000,455964647000
800000,100000,0.1,0.9,0.81,0,1278347000,512699793000
