energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.806225774829855,1,6651670,2761802710
4000,1000,0.1,0.9,0.806225774829855,0,8837790,3865446730
6000,1000,0.1,0.9,0.806225774829855,0,10943930,5147166220
8000,1000,0.1,0.9,0.806225774829855,0,13090060,5855309140
10000,1000,0.1,0.9,0.806225774829855,0,15236190,6731756640
20000,10000,0.1,0.9,0.806225774829855,1,59851700,24161291500
24000,1000,0.1,0.9,0.806225774829855,0,30299090,14035996790
40000,10000,0.1,0.9,0.806225774829855,0,80379900,34201714100
60000,10000,0.1,0.9,0.806225774829855,0,100774800,45608595000
80000,10000,0.1,0.9,0.806225774829855,0,121169700,52127498200
100000,1000,0.1,0.9,0.806225774829855,0,111812040,53786696630
100000,10000,0.1,0.9,0.806225774829855,0,141697900,60355840600
200000,100000,0.1,0.9,0.806225774829855,1,550529000,220251590000
240000,10000,0.1,0.9,0.806225774829855,0,284862100,127156602900
400000,100000,0.1,0.9,0.806225774829855,0,743814000,313151026000
600000,100000,0.1,0.9,0.806225774829855,0,986420000,415544088000
800000,100000,0.1,0.9,0.806225774829855,0,1133050000,467089865000
1000000,10000,0.1,0.9,0.806225774829855,0,1061467900,489742467100
1000000,100000,0.1,0.9,0.806225774829855,0,1326334999,545687544000
