energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.8888194417315589,2,9131050,1749082620
4000,1000,0.1,0.9,0.8602325267042626,1,21274680,2875920840
6000,1000,0.1,0.9,0.8544003745317531,0,1866200,3339751520
8000,1000,0.1,0.9,0.8366600265340756,0,14862950,4922609040
10000,1000,0.1,0.9,0.8366600265340756,0,15689410,6340547800
20000,10000,0.1,0.9,0.848528137423857,2,140764800,15626892300
24000,1000,0.1,0.9,0.8306623862918074,0,36857450,14393627360
40000,10000,0.1,0.9,0.8306623862918074,1,292993400,24885643700
60000,10000,0.1,0.9,0.8544003745317531,0,220211600,30374137900
80000,10000,0.1,0.9,0.8366600265340756,0,147429800,49811677300
100000,1000,0.1,0.9,0.8306623862918074,0,82179450,55264313800
100000,10000,0.1,0.9,0.8366600265340756,0,155694400,59866496300
240000,10000,0.1,0.9,0.8306623862918074,0,367374800,140822518900
1000000,10000,0.1,0.9,0.8306623862918074,0,820594800,608695921300
