energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.8660254037844386,2,8411230,1679180100
4000,1000,0.1,0.9,0.812403840463596,1,19621760,2768641000
6000,1000,0.1,0.9,0.8366600265340756,0,1719570,3202239240
8000,1000,0.1,0.9,0.7937253933193772,0,13703240,4743720440
10000,1000,0.1,0.9,0.7937253933193772,0,14463050,6122229060
20000,10000,0.1,0.9,0.8306623862918074,2,129700900,15059300900
24000,1000,0.1,0.9,0.7937253933193772,0,33978170,13918919400
40000,10000,0.1,0.9,0.812403840463596,1,270199100,23977337500
60000,10000,0.1,0.9,0.8366600265340756,0,203015900,29165640100
80000,10000,0.1,0.9,0.7937253933193772,0,135832700,48164889100
100000,1000,0.1,0.9,0.7937253933193772,0,75754390,53451327160
100000,10000,0.1,0.9,0.7937253933193772,0,143564100,57877393700
240000,10000,0.1,0.9,0.7937253933193772,0,338715300,136350837100
1000000,10000,0.1,0.9,0.7937253933193772,0,756477500,590702820700
