energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9539392014169457,2,7118220,1156257530
4000,1000,0.1,0.9,0.8717797887081347,1,16582520,2047101430
6000,1000,0.1,0.9,0.9219544457292888,0,1452970,2649964010
8000,1000,0.1,0.9,0.8888194417315589,0,11583770,3628519310
10000,1000,0.1,0.9,0.8944271909999159,0,12236940,5057948530
20000,10000,0.1,0.9,0.916515138991168,2,109705900,12432357800
24000,1000,0.1,0.9,0.8944271909999159,0,28726150,11502390350
40000,10000,0.1,0.9,0.8944271909999159,1,228476200,19821176800
60000,10000,0.1,0.9,0.9219544457292888,0,171690400,24157959000
80000,10000,0.1,0.9,0.8944271909999159,0,114904599,39792716000
100000,1000,0.1,0.9,0.8944271909999159,0,64063980,44190962830
100000,10000,0.1,0.9,0.8717797887081347,0,121436300,47827506800
240000,10000,0.1,0.9,0.8717797887081347,0,286328400,112656628800
1000000,10000,0.1,0.9,0.8944271909999159,0,639706700,487677516800
