net_arbitrage_revenue,day_start,day_end,power_output_rated,energy_capacity_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge,return_details
604510.0,20150101,20150201,1000,1000,1,0,0,1,0,1,1,0,0,False
638022.0,20150101,20150201,1000,1100,1,0,0,1,0,1,1,0,0,False
664961.0,20150101,20150201,1100,1100,1,0,0,1,0,1,1,0,0,False
671534.0,20150101,20150201,1000,1200,1,0,0,1,0,1,1,0,0,False
698473.0,20150101,20150201,1100,1200,1,0,0,1,0,1,1,0,0,False
725412.0,20150101,20150201,1200,1200,1,0,0,1,0,1,1,0,0,False
705046.0,20150101,20150201,1000,1300,1,0,0,1,0,1,1,0,0,False
731985.0,20150101,20150201,1100,1300,1,0,0,1,0,1,1,0,0,False
758924.0,20150101,20150201,1200,1300,1,0,0,1,0,1,1,0,0,False
785863.0,20150101,20150201,1300,1300,1,0,0,1,0,1,1,0,0,False
738558.0,20150101,20150201,1000,1400,1,0,0,1,0,1,1,0,0,False
765497.0,20150101,20150201,1100,1400,1,0,0,1,0,1,1,0,0,False
792436.0,20150101,20150201,1200,1400,1,0,0,1,0,1,1,0,0,False
819375.0,20150101,20150201,1300,1400,1,0,0,1,0,1,1,0,0,False
846314.0,20150101,20150201,1400,1400,1,0,0,1,0,1,1,0,0,False
772070.0,20150101,20150201,1000,1500,1,0,0,1,0,1,1,0,0,False
799009.0,20150101,20150201,1100,1500,1,0,0,1,0,1,1,0,0,False
825948.0,20150101,20150201,1200,1500,1,0,0,1,0,1,1,0,0,False
852887.0,20150101,20150201,1300,1500,1,0,0,1,0,1,1,0,0,False
879826.0,20150101,20150201,1400,1500,1,0,0,1,0,1,1,0,0,False
906765.0,20150101,20150201,1500,1500,1,0,0,1,0,1,1,0,0,False
805582.0,20150101,20150201,1000,1600,1,0,0,1,0,1,1,0,0,False
832521.0,20150101,20150201,1100,1600,1,0,0,1,0,1,1,0,0,False
859460.0,20150101,20150201,1200,1600,1,0,0,1,0,1,1,0,0,False
886399.0,20150101,20150201,1300,1600,1,0,0,1,0,1,1,0,0,False
913338.0,20150101,20150201,1400,1600,1,0,0,1,0,1,1,0,0,False
940277.0,20150101,20150201,1500,1600,1,0,0,1,0,1,1,0,0,False
967216.0,20150101,20150201,1600,1600,1,0,0,1,0,1,1,0,0,False
839094.0,20150101,20150201,1000,1700,1,0,0,1,0,1,1,0,0,False
866033.0,20150101,20150201,1100,1700,1,0,0,1,0,1,1,0,0,False
892972.0,20150101,20150201,1200,1700,1,0,0,1,0,1,1,0,0,False
919911.0,20150101,20150201,1300,1700,1,0,0,1,0,1,1,0,0,False
946850.0,20150101,20150201,1400,1700,1,0,0,1,0,1,1,0,0,False
973789.0,20150101,20150201,1500,1700,1,0,0,1,0,1,1,0,0,False
