net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
758991,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1434913,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1517982,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1982652,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2214853,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2276973,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2377228,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2869826,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2974504,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3035964,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2677080,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3461933,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3670055,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3734155,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3794955,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2907379,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3965304,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4304739,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4429706,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4493806,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4553946,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3027361,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4407885,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4897646,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5125257,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5189357,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5253457,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5312937,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3075197,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4754457,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5488153,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5739653,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5884908,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5949008,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6013108,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6071928,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3116519,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5076595,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5947957,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6333360,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6580460,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6644560,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6708660,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6772759,90000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6830920,90000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3151985,100000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5354161,100000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6393238,100000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6923866,100000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
