net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge,return_details,miscellaneous_index,date_start,date_end
348775799,200000,100000,1,0,0,1,6e-05,1,1,0,0,False,0,20220101,20220201
348775799,200000,100000,1,0,0,1,6e-05,1,1,0,0,False,1,20220101,20220201
348775799,200000,100000,1,0,0,1,6e-05,1,1,0,0,False,2,20220101,20220201
348775799,200000,100000,1,0,0,1,6e-05,1,1,0,0,False,3,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,False,4,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,False,5,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,False,6,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,False,7,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,False,8,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,False,9,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,False,10,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,True,11,20220101,20220201
349339000,200000,100000,1,0,0,1,0,1,1,0,0,True,12,20220101,20220201
4124960,2000,2000,1,0,0,1,0,1,1,0,0,True,13,20220101,20220201
