2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1883543,780356,1463396,785062,819729,1246533,941772,8186356,11680934,13344503
3863490,1571870,2917999,1659942,1472892,2456055,1835802,16175665,22012380,25503628
5365565,2011778,3977175,2308837,1980250,3453002,2344741,22040510,30094203,35202257
6150449,2183239,4312333,2520331,2136616,3924148,2511443,24664141,33601149,39037459
18835388,7803571,14634098,7850666,8197261,12465269,9417822,81863677,116809405,133445082
38634971,15718747,29180195,16599484,14729037,24560623,18358146,161756985,220123906,255036389
53655746,20117869,39772129,23088481,19802706,34530059,23447655,220405482,300942223,352023029
61111218,21738118,43043262,25117297,21300192,39131438,25048316,245488912,335064802,389624814
188353906,78035691,146341035,78506614,81972681,124652675,94178282,818636776,1168094064,1334450864
386349730,157187516,291802105,165994913,147290421,245606234,183581589,1617569957,2201239311,2550363963
536557580,201178799,397721642,230884911,198027261,345300612,234476700,2204055074,3009422374,3520230545
611112296,217381290,430433101,251173129,213002172,391314582,250483346,2454889636,3350648616,3896248881
