2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
9657635,7381757,18846668,12065826,15974411,17349749,12022248,68020341,91437983,85985255
16834903,12801700,35441217,22466626,28454857,31536643,20962433,121987104,166879834,160016524
20842701,15517248,47696894,29276735,36221318,43465903,26966091,162499606,229978519,223764082
23363703,16651651,54208436,33039689,40819488,52741609,30065946,189510393,275963186,268530829
96576609,73817811,188467317,120658662,159744589,173498097,120222857,680204227,914381100,859854109
168349320,128017233,354412850,224666679,284549077,315366999,209624652,1219262872,1668799700,1600166750
208427217,155172693,476969674,292767796,362213675,434659591,269661253,1624996884,2299786860,2237642317
233637261,166516709,542085065,330397279,408195402,527416639,300659795,1895104799,2759633103,2685309642
965766355,738178351,1884673787,1206586979,1597446413,1734981545,1202228938,6802043036,9143812203,8598542515
1683493459,1280172545,3544129154,2246667125,2845491309,3153670579,2096246864,12198719559,16687998191,16001668929
2084272356,1551727130,4769697464,2927678360,3622137295,4346596433,2696612848,16249969635,22997869759,22376424528
2336372834,1665167281,5420851318,3303973147,4081954561,5274166910,3006598251,18951048793,27596332243,26853097805
