2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3899161,2200194,4659287,3039100,3527776,4304154,3353330,20599268,27788229,28648184
6718433,3789053,8472338,5539478,6161656,7623058,5718988,36373884,48579865,50311918
8598695,4648153,11274389,7243666,7920253,10283891,7223051,47436242,64465186,67206813
9701108,5017867,12753754,8102344,8808497,12185267,7947288,54060362,74817489,77813050
38991607,22001807,46592863,30390982,35277844,43041315,33533433,205992814,277882118,286481760
67184513,37890454,84723557,55394877,61616796,76230571,57189938,363739034,485798664,503119531
85987048,46481311,112744025,72436886,79202902,102838995,72230672,474362442,644652563,672068018
97011211,50178729,127537816,81023687,88085408,121852760,79473078,540603934,748175185,778130735
389915609,220017642,465927925,303909180,352777777,430412228,335333592,2059927179,2778819807,2864816289
671844849,378904243,847235004,553948297,616167513,762305209,571899009,3637389515,4857985414,5031193563
859870317,464816181,1127439833,724368653,792028804,1028389331,722306528,4743625749,6446525268,6720679211
970111995,501787149,1275377950,810236737,880853969,1218527051,794730687,5406038938,7481751075,7781306547
