2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5145428,3012230,5853637,4489437,5051163,5670531,5084546,24867307,32544452,32385451
8895210,5239343,10683302,8143078,8954911,10057738,8910558,44306665,57224470,57136786
11397614,6594893,14370323,10680308,11609066,13557027,11490130,58455523,76474753,76955807
12813574,7224730,16564925,12037280,13052145,16133092,12796267,67341103,89676865,90316555
51454288,30122269,58536239,44894322,50511572,56705371,50845444,248673006,325444462,323854567
88952304,52393607,106833253,81430918,89549303,100577377,89105543,443066897,572244886,571368187
113976288,65949094,143703479,106803077,116090876,135570447,114901331,584555231,764747529,769557629
128136230,72247616,165649553,120373034,130521817,161331066,127962984,673411248,896768721,903165597
514542898,301222649,585362175,448942964,505115142,567053443,508454432,2486729930,3254444523,3238545468
889523031,523936177,1068332579,814309009,895493047,1005773268,891055371,4430668798,5722448900,5713681755
1139763095,659491059,1437034934,1068030798,1160908672,1355704561,1149013168,5845552410,7647475267,7695576121
1281362609,722476349,1656495653,1203730484,1305218254,1613310702,1279629927,6734112508,8967687035,9031655719
