2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
44667649,27530565,40249000,49097935,50024230,41963279,53272564,135413271,143224787,112431697
80580247,49448113,72761614,89312482,90974954,76297383,98686136,242302474,250522701,201826652
108178966,67452227,99473076,118141710,121177710,102647762,136407246,332486901,340666093,279748103
128140465,80406823,121027220,136882300,140768139,123533801,159649884,397971981,412950757,348312304
446676551,274912626,402490056,490979401,500242355,419584673,532725698,1355242186,1432247922,1123755221
805802525,494741350,728269120,893224454,909749584,763258851,986859947,2424849510,2505236081,2018312428
1082974865,674522333,995299223,1181428054,1212154515,1026600637,1364176530,3324752282,3409462887,2796869775
1281404689,804068283,1210272232,1368823061,1407681451,1235338066,1596498896,3979719864,4129507620,3483123100
4466765553,2753057090,4024900078,4909794070,5002423603,4195847884,5327257039,13566998334,14321657717,11238241311
8058025305,4947413538,7282691255,8932244611,9097495881,7632106719,9868612533,24261592710,25057686019,20183615511
10829748694,6745223372,9952992279,11814280592,12121545221,10266006426,13638999927,33247522869,34094628911,27960555215
12814046945,8040682881,12102722361,13688230652,14076814553,12353380712,15964989003,39797198688,41295076233,34831231056
