2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3399775,1756772,3768730,2274322,2560261,3337712,2453766,17186888,23624702,25137594
5872565,3002592,6792801,4145768,4376831,5882741,4140514,30028942,40927818,43764702
7509755,3629446,8878465,5369913,5572632,7876125,5175998,38878087,53762285,57757586
8482878,3896500,9876060,5955608,6151820,9223541,5654304,43998222,61691309,65967759
33997693,17567705,37687346,22743175,25602609,33377072,24537694,171868906,236246950,251375817
58725599,30025947,67928192,41457743,43768478,58827446,41405230,300289791,409278362,437647217
75097604,36294556,88784925,53699393,55726678,78761260,51760238,388781226,537622910,577575954
84828830,38965062,98761023,59556417,61518611,92235475,56543345,439982710,616913388,659678053
339976931,175677016,376873418,227431796,256025996,333770679,245376988,1718688918,2362469320,2513757925
587256019,300259511,679281976,414577564,437684878,588274454,414052426,3002898169,4092781931,4376470401
750976110,362945617,887849504,536994231,557267028,787612703,517602623,3887812573,5376229223,5775759621
848288418,389650678,987610566,595564505,615186423,922354919,565433714,4399827607,6169134053,6596780815
