2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
12040667,9603208,21539547,16346815,20686422,22429896,15895523,80214065,101999472,92856621
20637401,16634821,40148530,30304563,37474029,40866106,28083180,144592849,184828272,170936063
26107514,20993979,55214422,40308687,49008849,56122336,37046296,190046963,253790608,237500948
29522636,23639047,65023926,45931778,54915216,68448704,42180954,222718915,305102812,289664777
120406719,96032110,215395529,163468251,206864270,224299014,158955289,802140696,1018994871,928257488
206346134,166348262,401968062,303045683,374505801,408661093,280831840,1445928538,1848282777,1709360689
261219434,210162545,552144263,403086922,490088531,561223391,370462398,1900619261,2538127763,2375070519
295226394,236390517,650239310,459317836,549152222,684487092,421809598,2227189180,3051028161,2896647817
1199960532,960321146,2153955328,1634682559,2068642747,2242990172,1589552943,8021406996,10189948766,9280889179
2063461391,1663482680,4019680675,3030456893,3747403421,4086610980,2808318444,14459285441,18482827811,17093606951
2610752371,2101625496,5521442688,4030869282,4900885373,5612233949,3705185938,19006192656,25381277683,23750705238
2952263990,2363905217,6502393148,4593178422,5491522278,6844870968,4218096033,22271891862,30510281668,28966478223
