2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1778412,616241,420085,273973,350041,246815,366990,4950170,5844024,8203180
3093840,1031736,650153,465223,456777,339686,560620,7943610,8861410,12653225
3929287,1290418,810837,587863,517579,374604,663906,9888253,10594104,15275617
4386321,1471619,924031,683955,566407,387321,724316,11104458,11647275,16782770
17784113,6162411,4200874,2739724,3500398,2468132,3669871,49501702,58440218,82031793
30938402,10317376,6501551,4652222,4567763,3396860,5606210,79436102,88614097,126532232
39292879,12904180,8108379,5878623,5175786,3746041,6639078,98882515,105941033,152756166
43863229,14716220,9240307,6839538,5664058,3873216,7243181,111044589,116472761,167827701
177841124,61624101,42008752,27397228,35003971,24681315,36698702,495017015,584402170,820317957
309384038,103173778,65015504,46522205,45677622,33968603,56062101,794361017,886140971,1265322292
392928786,129041819,81083793,58786236,51757858,37460395,66390796,988825156,1059410315,1527561654
438632291,147162221,92403078,68395378,56640560,38732161,72431818,1110445916,1164727626,1678277037
