2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5461161,2721773,4278160,2525239,1652762,3675557,3282675,31081168,42107372,46465159
9230588,4494017,6899568,4544506,2754469,5683569,4797507,52993717,65279215,76521545
11738089,5159030,7995198,5325999,3311484,6175749,5607469,66092797,75837414,93421771
12971967,5567162,8418294,5520044,3450257,6194634,5921357,71838187,78101584,97432224
54611824,27217850,42781751,25252483,16527664,36755701,32826856,310812115,421074356,464652480
92306088,44940302,68995790,45445128,27544727,56835789,47975173,529937665,652792686,765216287
117381121,51590410,79952098,53260064,33114865,61757586,56074795,660928421,758374544,934218425
129719877,55671724,84183063,55200512,34502597,61946430,59213676,718382272,781016225,974322890
546118434,272178594,427817663,252524895,165276689,367557153,328268663,3108121555,4210744146,4646525652
923061069,449403128,689958025,454451337,275447299,568357973,479751839,5299377075,6527927321,7652163700
1173811382,515904211,799521121,532600707,331148682,617575936,560748045,6609284651,7583745875,9342185005
1297198964,556717352,841830759,552005201,345025993,619464368,592136845,7183823130,7810162636,9743229599
