2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5569634,4068221,11308434,6669359,7202580,9744150,7029654,42667131,62102584,59706957
11570006,7875131,24204046,14367759,14383796,19985777,14241706,89671364,129370387,125662465
15983250,9794480,34200617,20722026,20369595,29852653,19790867,128882767,194161734,190024806
18517732,10455891,38283377,23319211,22665433,35859791,22285998,147120504,231189899,225386519
55696562,40682405,113084957,66693878,72026109,97441893,70296872,426672086,621027121,597071060
115700289,78751459,242041026,143677863,143838261,199858227,142417335,896714396,1293705135,1256626116
159832735,97944952,342006758,207220498,203696278,298526931,197908993,1288828363,1941618465,1900249482
183976347,103954638,381856608,232323323,225818897,356375356,221822687,1465075716,2299799153,2242866866
556965866,406824214,1130850183,666939040,720261414,974419380,702969001,4266721557,6210272428,5970712057
1157003104,787514744,2420410815,1436778930,1438382896,1998582695,1424173635,8967144665,12937052607,12566262602
1598327577,979449675,3420068117,2072205249,2036963112,2985269702,1979090208,12888284295,19416185797,19002496177
1839763665,1039546531,3818566635,2323233481,2258189292,3563753958,2218227132,14650757809,22997992620,22428669905
