2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1883510,780334,1463345,785030,819686,1246469,941750,8186282,11680792,13344336
3863471,1571854,2917951,1659918,1472867,2456004,1835782,16175613,22012252,25503459
5365549,2011767,3977149,2308814,1980231,3452946,2344734,22040463,30094078,35202122
6150437,2183229,4312318,2520319,2136600,3924113,2511436,24664119,33601078,39037379
18835361,7803543,14634041,7850625,8197228,12465208,9417795,81863596,116809260,133444919
38634945,15718732,29180153,16599460,14729005,24560570,18358128,161756911,220123787,255036219
53655730,20117860,39772104,23088462,19802687,34530004,23447641,220405431,300942097,352022884
61111207,21738111,43043244,25117283,21300178,39131405,25048306,245488889,335064723,389624727
188353872,78035668,146340970,78506583,81972633,124652620,94178253,818636679,1168093915,1334450650
386349707,157187498,291802055,165994886,147290395,245606180,183581568,1617569897,2201239153,2550363777
536557557,201178789,397721610,230884895,198027238,345300555,234476688,2204055030,3009422240,3520230402
611112289,217381279,430433083,251173112,213002155,391314547,250483338,2454889610,3350648541,3896248790
