2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3686091,3287865,9845038,5884297,6382851,8497617,6087882,34480775,50421650,46362454
7706516,6303261,21286047,12707817,12910904,17529722,12405904,73495699,107358007,100158837
10617685,7782702,30223442,18413189,18389345,26399651,17446126,106842257,164067531,154822549
12367283,8272652,33971044,20798880,20528817,31935643,19774555,122456363,197588750,186349060
36861174,32878834,98450859,58843212,63828848,84976624,60879050,344808409,504217716,463625978
77065318,63032712,212860831,127078379,129109224,175297604,124059189,734957411,1073581229,1001589727
106176989,77827083,302234629,184132017,183893572,263996872,174461338,1068422881,1640676242,1548226453
122865129,82216520,338813346,207206026,204518705,317243918,196774371,1219586804,1964734351,1853242052
368611960,328788523,984509148,588432426,638288733,849766705,608790719,3448084781,5042178364,4636261193
770653374,630327228,2128608710,1270784017,1291092475,1752976461,1240592046,7349574708,10735813296,10015898639
1061769997,778270876,3022346475,1841320338,1838935851,2639969090,1744613508,10684229221,16406763423,15482265632
1228651369,822165241,3388133534,2072060352,2045187120,3172439376,1967743786,12195868173,19647344004,18532421024
