2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3899096,2200121,4659185,3039007,3527677,4304001,3353227,20599135,27788023,28647976
6718371,3788984,8472246,5539398,6161562,7622927,5718892,36373730,48579677,50311725
8598641,4648112,11274301,7243609,7920184,10283777,7222965,47436133,64465023,67206633
9701058,5017818,12753687,8102285,8808441,12185149,7947210,54060252,74817328,77812886
38991496,22001708,46592687,30390823,35277664,43041094,33533245,205992557,277881785,286481421
67184423,37890371,84723402,55394749,61616653,76230382,57189793,363738815,485798363,503119214
85986978,46481257,112743892,72436796,79202796,102838817,72230565,474362272,644652293,672067742
97011151,50178675,127537709,81023608,88085330,121852591,79472988,540603779,748174957,778130489
389915498,220017543,465927746,303909025,352777593,430412019,335333402,2059926937,2778819477,2864815960
671844758,378904156,847234843,553948171,616167366,762305014,571898856,3637389297,4857985108,5031193237
859870246,464816121,1127439693,724368563,792028694,1028389154,722306416,4743625582,6446524993,6720678927
970111938,501787100,1275377869,810236676,880853904,1218526901,794730606,5406038817,7481750874,7781306318
