2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
14417326,12061859,20334547,21779898,24775205,24531981,29268319,79006460,93063846,72688447
23350278,21305568,37819370,38727489,45948154,43276331,50678120,144800596,171453381,134794518
28349673,27268412,53224302,50890445,60257870,58662025,64433695,196475715,238033559,192084796
30941455,30048843,65530620,58395929,68633642,72172514,71535773,231460441,290765054,243544149
144173777,120619084,203346264,217799638,247752824,245320893,292683977,790065613,930640022,726886030
233503150,213056127,378194362,387275404,459482217,432764136,506781870,1448006809,1714535196,1346186343
283497033,272684679,532243680,508904834,602579119,586621009,644337447,1964624804,2380336311,1920849528
309414814,300488669,655306666,583959598,686336765,721725809,715358150,2314605019,2907651577,2435442636
1441738302,1206191351,2033463468,2177997074,2477529048,2453209978,2926840647,7900657249,9306401766,7268861814
2335031889,2130561688,3781944344,3872754640,4594822865,4327642220,5067819346,14480069153,17145353406,13461864948
2834970620,2726843861,5322437428,5089048721,6025791665,5866210917,6443374978,19646247000,23803363759,19208496554
3094148412,3004886969,6553067108,5839596292,6863368039,7217258877,7153581926,23146050903,29076516909,24354427509
