2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
44173176,28309028,41526114,50459757,51421443,42623666,54229460,134011478,141666452,111021201
79892815,50569385,75377672,92517695,94510738,77733418,101722505,242761828,250943918,200818468
106818714,68034775,102457869,123982715,126328372,104459324,140570554,333456212,343792452,278970291
123528604,79479332,123655726,142701866,145862276,124710595,165191066,398200079,419122582,349467483
441674196,283091165,415262326,504598888,514215863,426238108,542296117,1340116216,1416666063,1110295132
798929301,505694817,753777948,925178316,945108805,777421955,1017226308,2427659316,2509440753,2008186599
1068188163,680348681,1024579915,1239828267,1263285026,1044594549,1407092486,3334563461,3437926001,2789216386
1235287073,794794161,1236558404,1427019773,1458623971,1247107108,1651911782,3982002020,4191227194,3494676289
4416743127,2830912503,4152624423,5045990062,5142159385,4262382364,5422962619,13401163646,14166662067,11102952762
7989294005,5056949069,7537780668,9251784146,9451089321,7774220336,10172264286,24276594428,25094410472,20081867161
10681882725,6803487650,10245800362,12398283712,12632851328,10445946776,14070925976,33345635992,34379261504,27892165325
12352871629,7947942336,12365585064,14270198648,14586240679,12471072129,16519118788,39820021238,41912273113,34946764063
