2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5145292,3012109,5853459,4489275,5050981,5670366,5084374,24867118,32544255,32385258
8895085,5239241,10683169,8142931,8954756,10057562,8910390,44306497,57224290,57136587
11397490,6594785,14370190,10680159,11608917,13556879,11489960,58455353,76474568,76955611
12813495,7224648,16564808,12037153,13052015,16132945,12796132,67340961,89676699,90316370
51454136,30122137,58536044,44894129,50511386,56705157,50845261,248672792,325444265,323854349
88952158,52393496,106833092,81430748,89549132,100577197,89105358,443066691,572244688,571367959
113976172,65948983,143703337,106802921,116090707,135570271,114901139,584555061,764747333,769557417
128136141,72247527,165649425,120372904,130521680,161330905,127962838,673411077,896768523,903165395
514542655,301222447,585361883,448942668,505114827,567053142,508454121,2486729629,3254444207,3238545147
889522819,523936003,1068332332,814308740,895492771,1005773009,891055084,4430668525,5722448596,5713681444
1139762903,659490894,1437034709,1068030557,1160908425,1355704320,1149012898,5845552148,7647474962,7695575810
1281362559,722476293,1656495596,1203730402,1305218183,1613310612,1279629830,6734112431,8967686969,9031655644
