2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
39027748,25296798,35672477,45970320,46370280,36953135,49144914,109144171,109122000,78635750
70997605,45330042,64694370,84374617,85555827,67675680,92811947,198455163,193719448,143681682
95421100,61439882,88087546,113302407,114719306,90902297,129080424,275000689,267317699,202014484
110715030,72254602,107090801,130664586,132810131,108577503,152394799,330858976,329445717,259150928
390219908,252968896,356726087,459704566,463704291,369532737,491450673,1091443210,1091221601,786440565
709976997,453301210,646944695,843747398,855559502,676844578,928120765,1984592419,1937195867,1436818412
954211875,614399587,880876436,1133025190,1147194150,909024102,1292191155,2750008230,2673178472,2019658757
1107150843,722546545,1070908851,1306646739,1328102154,1085776042,1523948798,3308590772,3294458473,2591510692
3902200229,2529689854,3567262248,4597047098,4637044243,3695328921,4914508187,10914433716,10912217544,7864407294
7099770974,4533012892,6469448089,8437475137,8555596274,6768447068,9281208915,19845925630,19371961572,14368185406
9542119630,6143996591,8808765428,11330252914,11471942656,9090242215,12921912808,27500083582,26731786237,20196589204
11071509020,7225465987,10709089411,13066468164,13281022425,10857761427,15239488861,33085908730,32944586078,25915108344
