2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
11610534,9779189,21397088,15768862,20023773,21778975,16117267,81323992,102752263,92322799
19807114,17042710,39878022,29174783,36298166,39601191,28276654,146989205,187345269,171496714
24865998,21443976,54830099,38127510,46966415,54706900,36983603,193311859,258025653,240192145
27901072,23916615,64372707,43407380,53114757,67198705,41473204,225934385,310475873,294398166
116105632,97792219,213971667,157689083,200238416,217790490,161173148,813240935,1027524017,923229472
198043483,170427424,398781008,291748294,362982288,396012603,282766992,1469893091,1874380202,1714968734
248660268,214440032,548301713,381275586,469664776,546982205,369836479,1933119578,2580257877,2401922970
279010969,239166397,643727849,434074276,531148174,671987696,414732474,2259344845,3104760081,2943983159
1161056639,977922478,2139717364,1576891345,2002384719,2177905654,1611731932,8132410258,10275241463,9232296080
1980435127,1704274526,3987810775,2917483447,3629823469,3960126791,2827670387,14698931866,18734542365,17149688825
2486602952,2144400572,5483017852,3812756399,4696648320,5469822769,3698365243,19331196657,25802580065,24019231087
2790109980,2391664213,6437279156,4340743279,5311482274,6719877731,4147325155,22593449415,31047602112,29439832994
