2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3399733,1756738,3768648,2274266,2560187,3337616,2453716,17186770,23624526,25137395
5872517,3002559,6792730,4145727,4376771,5882656,4140474,30028842,40927659,43764529
7509721,3629416,8878406,5369884,5572595,7876046,5175975,38878010,53762125,57757430
8482847,3896469,9876014,5955585,6151791,9223464,5654283,43998154,61691179,65967627
33997645,17567660,37687247,22743123,25602519,33376976,24537643,171868764,236246754,251375604
58725558,30025913,67928107,41457691,43768412,58827350,41405187,300289696,409278185,437647021
75097567,36294523,88784866,53699362,55726635,78761174,51760207,388781135,537622758,577575768
84828798,38965029,98760968,59556389,61518575,92235401,56543316,439982644,616913243,659677889
339976858,175676950,376873261,227431690,256025862,333770524,245376896,1718688708,2362469012,2513757596
587255957,300259455,679281838,414577479,437684773,588274312,414052353,3002898012,4092781643,4376470085
750976064,362945577,887849403,536994179,557266960,787612573,517602578,3887812450,5376228962,5775759342
848288378,389650640,987610482,595564463,615186371,922354799,565433678,4399827502,6169133842,6596780583
