2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
8210759,8022417,17628358,13494540,17463512,18441263,13663501,64137104,79127561,67185205
13934549,14040118,33085221,25029015,31921335,33718450,24136140,116960263,146417451,127732012
17356243,17814530,45951634,32757597,41393783,46830775,31807605,154433772,204263368,182434559
19418194,20020115,54496647,37451772,46962937,57975164,35818900,181936163,248784564,228430407
82107939,80224514,176284321,134945908,174635807,184413418,136635454,641372029,791277067,671853655
139317884,140401477,330852816,250290551,319213810,337185157,241361762,1169603300,1465101840,1277321517
173562664,178145476,459516788,327576193,413938098,468220945,318076241,1544338352,2042634967,1824347016
194182139,200201335,544966826,374517859,469629563,579752221,358189129,1819362135,2487846693,2284305106
821079708,802245462,1762843946,1349459549,1746358723,1844134975,1366354944,6413721340,7912772143,6718538155
1393179108,1404015015,3308528799,2502905883,3192138591,3371852337,2413617961,11696033697,14641760434,12773218424
1735626842,1781454955,4595168348,3275762168,4139381292,4682210066,3180762620,15443384084,20426350842,18243471466
1941821562,2002013535,5449668590,3745178774,4696295851,5797522812,3581891441,18193621808,24878468059,22843052179
