2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6656099,5963143,15870940,10357189,14149396,14796362,10124915,53725569,71532044,64166235
11664179,10407662,30160356,19378869,25417688,27095177,17808341,97265774,132862887,122520143
14239955,12665880,40939212,25320025,32391056,37602948,23093707,130793011,185877236,175022766
15916627,13601097,46813550,28701251,36643658,46004507,25876722,154047307,226130196,213774884
66561282,59631686,158710127,103572303,141494455,147964243,101249470,537256590,715321806,641664019
116641992,104076852,301604206,193788997,254177231,270952301,178083695,972049509,1328630181,1225202883
142399725,126658920,409392515,253200424,323910780,376030034,230937205,1307930894,1858773547,1750229039
159166398,136011085,468135647,287012586,366436676,460045353,258767282,1540473331,2261302571,2137749540
665613091,596317109,1587101941,1035723371,1414945038,1479643071,1012494973,5372566744,7153219437,6416641767
1166420122,1040768669,3016042633,1937890283,2541772655,2709523625,1780837189,9726584493,13286303038,12252030295
1423997376,1266589323,4093925471,2532004394,3239108016,3760300899,2309372177,13079309483,18587736628,17502291869
1591664052,1360110943,4681356620,2870125920,3664366854,4600453892,2587672910,15404733511,22613026338,21377496092
