2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1649118,492320,336251,217147,319327,199480,241935,4445278,5243358,7648181
2792264,824178,498430,353171,396678,257443,335687,6955858,7581581,11501161
3470641,965482,574631,394049,418099,266964,368340,8295688,8617501,13389673
3773859,1043116,612527,404206,421815,267096,372024,8819608,8874386,13742424
16491402,4923329,3362670,2171582,3193327,1994943,2419473,44453233,52434333,76482910
27922856,8241913,4984511,3531767,3966833,2574619,3357008,69559055,75816675,115012675
34706640,9654937,5746480,3940572,4181034,2669839,3683540,82957358,86175847,133897778
37738813,10431272,6125442,4042146,4218195,2671150,3720392,88196506,88744718,137425306
164914228,49233397,33626916,21715904,31933321,19949577,24194860,444532791,524344118,764830082
279228771,82419244,49845298,35317758,39668384,25746351,33570210,695590965,758167532,1150127805
347066578,96549483,57464973,39405824,41810391,26698530,36835519,829574022,861759243,1338978870
377388340,104312836,61254589,40421565,42181987,26711637,37204031,881965515,887447910,1374254118
