2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3812018,2229439,3941890,2308082,1333430,3476060,3040727,26635839,36863919,38816845
6438306,3669830,6401114,4191328,2357784,5426107,4461812,46037828,57697525,65020272
8267438,4193545,7420555,4931945,2893379,5908767,5239123,57797088,67219811,80032002
9198101,4524042,7805755,5115833,3028437,5927520,5549327,63018561,69227101,83689718
38120398,22294505,39419056,23080889,13334331,34760741,30407367,266358827,368639907,388169441
64383215,36698382,64011253,41913351,23577885,54261148,44618155,460378569,576975899,650203487
82674470,41935470,74205604,49319486,28933826,59087730,52391247,577971039,672198595,800320541
91981056,45240449,78057608,51158361,30284398,59275263,55493277,630185745,692271411,836897494
381204165,222945172,394190711,230808972,133343357,347607542,304073782,2663588668,3686399864,3881695360
643832268,366983871,640112696,419133563,235778905,542611595,446181618,4603786038,5769759647,6502035726
826744784,419354722,742056131,493194878,289338285,590877389,523912516,5779710587,6721986514,8003206013
919810615,452404510,780576156,511583632,302844001,592752714,554932805,6301857584,6922714624,8368975399
