2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5657205,4325805,11294097,6808826,7463721,9793397,7138875,42799521,61264486,59236888
11739979,8412598,23931961,14907672,15084589,20105416,14484021,89186706,127249417,123402423
16507468,10329215,34032348,21844126,21539318,29868211,20283542,127743445,190725338,185094652
19396718,11136915,38508445,24784237,25130472,36666305,22822347,147837944,227936025,220657008
56572082,43258094,112941027,68088306,74637264,97934017,71388794,427995267,612644927,592368941
117399829,84126025,239319649,149076756,150845927,201054210,144840235,891867107,1272494219,1234024263
165074719,103292198,340323522,218441315,215393228,298682138,202835455,1277434521,1907253420,1850946569
192422639,110651375,383228043,246302725,248630703,363136925,226757832,1467683288,2261087932,2188518548
565720854,432580966,1129410319,680883083,746372697,979340200,713887981,4279952727,6126449325,5923689456
1173998335,841260274,2393196534,1490767581,1508459324,2010542125,1448402397,8918671150,12724942228,12340242680
1650747230,1032922020,3403235274,2184413180,2153932337,2986821410,2028354606,12774345274,19072534263,18509465741
1924226441,1106513780,3832280482,2463027286,2486307071,3631369270,2267578375,14676832938,22610879354,21885185526
