2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1996699,910565,1512749,862531,878371,1279061,1031996,8629028,11999498,13525668
4160816,1834438,3034929,1807233,1603609,2537135,2039569,16965635,22701785,25892245
5921248,2419299,4228638,2579879,2243123,3605965,2705889,23460645,31348930,36071407
6914680,2732242,4815493,2970794,2628948,4232379,3091527,27173255,36159102,41343812
19967019,9105696,15127533,8625349,8783760,12790656,10319998,86290338,119995033,135256727
41608210,18344414,30349334,18072374,16036128,25371386,20395757,169656415,227017894,258922512
59212521,24193037,42286423,25798835,22431289,36059705,27058946,234606491,313489359,360714131
68587616,27079926,47786759,29434158,26004082,41994708,30654459,269354244,358951472,410466029
199670235,91056991,151275396,86253519,87837650,127906609,103200027,862903438,1199950383,1352567321
416082123,183444178,303493382,180723771,160361321,253713903,203957630,1696564201,2270178998,2589225185
592125247,241930412,422864280,257988384,224312948,360597091,270589519,2346064972,3134893624,3607141374
685876193,270799305,477867649,294341621,260040871,419947125,306544652,2693542486,3589514765,4104660341
