2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3660501,3415236,9781343,5946292,6585345,8514331,6106876,34170488,49264986,45711214
7579158,6578157,20897027,13100434,13480975,17568277,12444444,72221064,104547627,97510168
10586217,7909913,29803706,19264245,19296189,26262238,17577647,104282798,159376402,149023235
12482034,8404670,33692947,21813440,22501520,32433920,19730817,120664685,191776918,179313190
36605058,34152393,97813487,59462952,65853500,85143355,61068789,341704924,492649888,457112207
75791617,65781607,208970313,131004378,134809796,175682816,124444472,722210690,1045476318,975101743
105862195,79099160,298037096,192642475,192961935,262622425,175776504,1042828023,1593764055,1490232430
123835022,83571445,335441281,216868563,222626616,321142208,196103368,1198329042,1902136453,1778052511
366050613,341523969,978134914,594629558,658535039,851433588,610687951,3417049282,4926498938,4571122130
757916206,657816092,2089703145,1310043806,1348097995,1756828215,1244444763,7222106944,10454763223,9751017490
1058621983,790991604,2980370989,1926424792,1929619384,2626224312,1757765082,10428280295,15937640634,14902324362
1238350245,835714473,3354412831,2168685661,2226266195,3211422139,1961033720,11983290444,19021364587,17780525179
