2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
18658659,14102113,25714658,24343460,27532648,28486015,31088600,98187154,121368249,102298356
32153737,24843308,48314138,43910462,51759999,51132032,53971361,175906256,218846366,185584053
40901738,32024792,67705352,59465955,70012533,70652769,69356463,234116525,298694800,258206632
46707052,35886555,82021392,69083795,81170183,87088432,77023687,274602249,358960916,317913286
186586656,141021194,257146577,243434646,275326526,284860218,310886057,981596785,1213517834,1022983627
321941020,248614116,483141321,439106262,517600426,511344831,540498066,1759062490,2187202611,1855897995
409129236,320175576,677012764,594754891,699854358,706527741,693564673,2341165308,2987061481,2582915768
467070558,358865594,820213977,690838024,811701872,870884384,770236936,2746022552,3589609224,3179132914
1865866599,1410211958,2571466318,2434346476,2753265288,2848602199,3108860607,9814274983,12136817459,10228400522
3219818353,2486404037,4831413237,4391062558,5176004291,5113448344,5404973923,17589931979,21883898154,18527142551
4091766302,3202479600,6770127693,5947548945,6998129465,7065277441,6935646768,23411653137,29870614871,25829157718
4670705603,3588655972,8202139808,6908380269,8117018751,8708843880,7702369397,27460225555,35896092278,31791329172
