2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
4015384,2330920,4729041,3169507,3620379,4385182,3467326,20901772,28068439,28864260
7096928,4034613,8642941,5822327,6395705,7774578,5977423,36868012,48983349,50564369
9247437,5029090,11564568,7703987,8353610,10514609,7667138,48272889,65076126,67581322
10573084,5586135,13262474,8776374,9500872,12571931,8657120,55808931,76210677,78826117
40153875,23309260,47290396,31695105,36203849,43851846,34673304,209015712,280684330,288642651
70970959,40346602,86429358,58224905,63957503,77746894,59775103,368679515,489824724,505641672
92474716,50291820,115645313,77040123,83536426,105147282,76672111,482729221,650771639,675813373
105730886,55861397,132624804,87763799,95008761,125719387,86571238,558089369,762106824,788261224
401538794,233092669,472904527,316951090,362038556,438518521,346733099,2090151428,2806836638,2886420153
709708980,403465967,864293647,582249008,639575085,777468993,597744319,3686794878,4898301122,5056349806
924752117,502918802,1156453178,770401553,835362258,1051473194,766721172,4827292258,6507716431,6758133783
1057308912,558614016,1326248097,877638064,950087676,1257193926,865712422,5580893743,7621068310,7882612278
