2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
14643271,11771188,20985613,21173947,23912262,24100832,27621269,77285376,93299802,73434091
25056801,20808689,39671191,38088128,45364287,43357450,47993932,139038234,169863010,135019677
31654293,26995695,56140781,51761963,61658915,60138153,61689319,185843632,233618669,190625305
36133959,30300414,68758911,60307415,71669305,74516493,68366564,218793313,282750234,239087164
146432773,117711922,209856173,211739531,239122668,241008361,276212745,772581064,932833497,734340969
250970053,208267507,396711953,380881347,453642913,433597928,480722955,1390382968,1697377879,1350256312
316654511,269883747,561367446,517714758,616317924,601380451,616892552,1858436082,2336289837,1907102386
361339663,303004190,687589167,603074215,716693100,745164988,683665690,2187933174,2827502389,2390871684
1464327794,1177119279,2098561781,2117395377,2391226723,2410083669,2762127496,7724123544,9329980811,7341980360
2510109363,2082938061,3967119580,3808813540,4536429197,4335979342,4807229596,13903137092,16985597026,13470792734
3167014176,2699560790,5613674511,5177147383,6162767199,6013804237,6168925587,18584360869,23362898431,19071023926
3613396683,3030041950,6875891704,6030742196,7166931064,7451649945,6836656967,21879331801,28275023958,23908716887
