2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5234193,3125985,5915105,4544767,5083351,5717953,5135670,25131437,32844670,32635634
9251878,5461131,10855608,8311932,9070210,10160819,9029103,44675673,57578234,57415330
12086854,6957324,14693952,11028633,11939195,13768067,11757670,59060749,76952058,77320203
13869430,7821105,17136961,12655071,13687211,16539980,13315854,68755714,90775152,91191105
52341975,31259824,59151119,45447727,50833556,57179577,51356755,251314483,328445797,326354066
92518882,54612189,108556821,83119759,90702142,101610529,90289728,446761668,575778703,574155628
120868895,69573296,146940403,110286656,119392700,137680832,117577342,590607048,769514611,773199561
138694350,78211113,171369662,126550757,136872159,165399849,133158593,687557207,907751592,911911094
523419794,312598984,591510698,454477331,508335609,571796920,513567596,2513154321,3284452135,3263567916
925188876,546121940,1085568255,831197647,907021486,1016105443,902910321,4467590538,5757869406,5741554615
1208689009,695732999,1469404081,1102866611,1193927079,1376808375,1175772789,5906070548,7695146174,7731978591
1386943546,782111204,1713696671,1265507603,1368721640,1653998547,1331585990,6875572130,9077515978,9119111000
