2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
39433452,24404576,34333888,44553160,44940874,36245321,48136888,110281827,110380111,79796056
71328360,43986975,61905999,81000543,81904738,66136559,89657024,197626793,192944461,144411314
96092102,60494898,84779117,107113069,109238511,88879688,124649568,273426146,263714030,202427893
114271029,72585709,103890251,124227224,127080923,106993816,146334024,329216259,322175596,257121195
394334570,243652798,343338933,445531668,449408793,362405091,481368938,1103927694,1103802117,797401147
713283638,440129155,619712294,810104690,819047432,661648315,896570215,1978087836,1929457373,1444156795
962105962,604949032,848358814,1071141393,1092761806,888919799,1246599180,2734145227,2639948267,2023670207
1142710333,725857161,1038902562,1242272299,1270809285,1069938210,1463340294,3292162650,3221756019,2571212000
3943345748,2440458097,3433389374,4455316728,4494087982,3624050956,4813689436,11053844005,11037205575,7974673389
7132836421,4401291595,6197122991,8101046958,8190474388,6616001268,8965702206,19794002165,19299816606,14442060889
9621059681,6049490369,8483588192,10711413971,10927618134,8889198043,12463227130,27341452312,26399482729,20228576618
11427103393,7258571672,10389025681,12422723040,12708092907,10699382154,14633403006,32921626553,32217560248,25712120052
