2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3493058,1906887,3835291,2389530,2654613,3405818,2598119,17554779,23927526,25324719
6200015,3285589,6941587,4374402,4593431,5989864,4444492,30702223,41455200,44026534
8076129,4053726,9141086,5729210,5938138,8026174,5660235,40023703,54635223,58225973
9237137,4490844,10351293,6492176,6746603,9517219,6394599,46119688,63484437,67226638
34930639,19068920,38352966,23895405,26546189,34058235,25981234,175547843,239274377,253247330
62000190,32855936,69416417,43744075,45934358,59898693,44444973,307022284,414555153,440265979
80761890,40537339,91410741,57292153,59381437,80262638,56601797,400237583,546354707,582262379
92371415,44908493,103512977,64921813,67466078,95172234,63946040,461196916,634844413,672266423
349304459,190689238,383529714,238954108,265461932,340582404,259812377,1755478467,2392743840,2532457397
620001944,328559429,694164211,437440809,459343748,598986982,444449788,3070222881,4145551578,4402658756
807617240,405373445,914107469,572921573,593814437,802625942,566024928,4002375865,5463547122,5822623835
923714192,449084985,1035129822,649218173,674660835,951722386,639460444,4611969212,6348444179,6722664291
