2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
8547603,7696314,17704252,13957278,18031803,19024073,13297401,62659281,78071940,67531894
14437382,13349228,33206941,25930157,32880590,34876235,23638682,113890620,143373066,126909523
18031379,16940251,46073330,34579471,43070703,48096155,31386054,150023255,199155380,179274968
20285493,19148198,54672627,39439598,48168609,58931480,35786351,176599221,241618369,222438134
85476073,76963187,177042554,139572839,180318075,190240771,132974051,626592847,779720487,675010154
144345938,133492320,332551640,259301604,328571437,348762394,236386859,1138906250,1433727618,1269094702
180457539,169625202,460733517,345794764,430707089,480960744,313860595,1500381673,1991773049,1792808134
202854973,191482019,546726329,394396020,481686139,589314852,357863553,1765992260,2416183743,2224381388
850656066,769631901,1770425608,1395728442,1803180809,1902407757,1329740556,6265928523,7797204921,6748431774
1443459440,1334923244,3325516456,2593016077,3288059666,3487623989,2363868648,11389062550,14337276227,12690948184
1803135125,1696252046,4607335211,3457947700,4307070930,4809607998,3139161003,15003816786,19917730553,17928081399
2028549793,1914820224,5467263319,3943960241,4816861438,5893148575,3578635582,17659922645,24161837481,22243813928
