2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6212810,5577236,15870880,10307662,14206779,15187133,10700071,51908792,70703806,64086249
10609481,9776215,30301200,19292252,25848567,27400174,18944505,94087583,130673762,121304793
13020869,12270867,40983279,25352487,33154799,37748993,24602374,126320466,183128386,171171925
14762990,13975595,46853253,29274655,37008292,45967436,28023848,148594230,221080096,206708893
62128138,55772404,158708854,103076682,142067842,151871386,107000755,519087975,707038122,640862546
106094854,97762195,303012038,192922562,258485722,274001779,189445108,940875883,1306359999,1213047971
130377669,122777562,409901692,253524911,331548042,377504599,246111306,1262834001,1831281196,1711719319
147629925,139756001,468532566,292746583,370082972,459674401,280238513,1485942357,2210801028,2067088973
621281408,557724097,1587088596,1030766863,1420678457,1518713902,1070007603,5190879820,7070381269,6408625510
1060948572,973725623,3030120432,1929225666,2584857244,2740017844,1894451149,9408758895,13066031467,12130479771
1303776871,1227775658,4097248556,2535249137,3315480461,3775046028,2461113105,12628340060,18312812022,17117193237
1476299283,1397560041,4685325687,2927465855,3700829770,4596744064,2802385191,14859423614,22108010328,20670889794
