2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1778406,616237,420084,273969,350038,246809,366984,4950167,5844015,8203173
3093835,1031733,650150,465219,456774,339683,560617,7943605,8861404,12653217
3929284,1290415,810832,587859,517577,374601,663903,9888246,10594096,15275611
4386319,1471618,924027,683951,566404,387319,724314,11104455,11647269,16782765
17784106,6162405,4200870,2739719,3500395,2468128,3669866,49501698,58440209,82031790
30938399,10317373,6501546,4652217,4567760,3396858,5606206,79436099,88614091,126532222
39292874,12904177,8108374,5878620,5175784,3746037,6639075,98882512,105941024,152756160
43863225,14716217,9240304,6839534,5664054,3873213,7243179,111044586,116472757,167827699
177841116,61624093,42008747,27397223,35003967,24681309,36698697,495017011,584402161,820317951
309384031,103173774,65015500,46522201,45677618,33968600,56062098,794361014,886140964,1265322284
392928781,129041815,81083786,58786231,51757856,37460392,66390794,988825152,1059410306,1527561648
438632287,147162220,92403075,68395373,56640557,38732158,72431817,1110445911,1164727618,1678277031
