2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3751907,2446137,4123079,2594482,1419673,3292153,3160873,26784954,35527270,35824666
6616869,3927523,7065927,4773214,2492925,5336246,4595516,45384588,55885480,61560274
8732908,4456169,9113554,5921418,3219162,6536835,5608261,57497380,67450333,77675596
9945017,4790760,10505036,6737170,3811558,7105698,6320944,64902398,73306498,85938207
37519115,24461394,41230817,25944839,14196750,32921565,31608776,267849588,355272745,358246715
66168729,39275258,70659282,47732167,24929265,53362482,45955177,453845920,558854871,615602796
87329104,44561719,91135572,59214205,32191636,65368367,56082641,574973851,674503376,776756007
99450203,47907608,105050390,67371732,38115599,71056993,63209462,649024005,733065021,859382117
375191180,244613973,412308208,259448425,141967527,329215678,316087798,2678495933,3552727497,3582467184
661687315,392752604,706592866,477321699,249292676,533624847,459551800,4538459246,5588548755,6156028040
873291070,445617216,911355760,592142069,321916380,653683705,560826442,5749738547,6745033811,7767560117
994502063,479076097,1050503932,673717339,381156022,710569952,632094641,6490240070,7330650258,8593821200
