2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1996704,910569,1512754,862534,878376,1279066,1031999,8629033,11999500,13525674
4160821,1834441,3034934,1807238,1603614,2537139,2039577,16965642,22701790,25892255
5921251,2419302,4228642,2579881,2243129,3605973,2705895,23460647,31348936,36071417
6914684,2732245,4815498,2970797,2628952,4232385,3091530,27173259,36159107,41343818
19967024,9105701,15127540,8625354,8783764,12790662,10320005,86290343,119995039,135256734
41608212,18344418,30349336,18072378,16036131,25371394,20395763,169656417,227017901,258922520
59212524,24193038,42286426,25798840,22431293,36059713,27058951,234606498,313489365,360714139
68587617,27079930,47786762,29434162,26004087,41994717,30654464,269354246,358951479,410466037
199670241,91056997,151275405,86253525,87837658,127906612,103200030,862903445,1199950387,1352567326
416082129,183444182,303493389,180723775,160361329,253713910,203957634,1696564206,2270179005,2589225190
592125247,241930416,422864285,257988388,224312953,360597098,270589524,2346064979,3134893629,3607141379
685876196,270799307,477867651,294341625,260040876,419947131,306544655,2693542494,3589514767,4104660347
