2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
9315579,7154645,18914473,12121635,16125795,17788948,12733840,66619378,90946652,86091068
16112391,12466055,35730324,22585424,29088720,31926606,22376857,119578027,165311204,159110559
20191225,15556880,48006315,29643068,37326064,43751746,28918024,159326107,228248650,220538521
22955701,17609415,54721246,34127414,41763483,53002162,32873978,186389258,272985929,263049243
93155832,71546498,189144735,121216453,161258001,177889522,127338429,666193846,909467371,860910733
161123961,124660585,357303274,225854275,290887519,319266093,223768627,1195780329,1652731172,1591103732
202081410,155637751,480132015,296430751,373260686,437532129,289268038,1592890001,2282486549,2205385260
229557048,176094201,547212515,341274192,417634894,530021654,328739841,1863892632,2729859337,2630492476
931558363,715465038,1891447394,1212164593,1612580058,1778895254,1273384349,6661938521,9094673784,8609107389
1611239643,1242706982,3573032798,2258542801,2908875234,3192660955,2237686321,11957803342,16529746226,15911037391
2020814127,1556377576,4799544555,2964307556,3732606899,4375321330,2892680439,15928900058,22824865568,22053852654
2295570519,1760942066,5472125182,3412741967,4176348996,5300216579,3287398460,18638926392,27298593413,26304924812
