2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3493064,1906894,3835295,2389537,2654619,3405823,2598122,17554784,23927532,25324727
6200019,3285593,6941589,4374406,4593439,5989871,4444498,30702229,41455206,44026540
8076135,4053728,9141092,5729216,5938146,8026181,5660242,40023708,54635228,58225980
9237143,4490849,10351299,6492180,6746607,9517224,6394603,46119694,63484443,67226643
34930646,19068923,38352975,23895412,26546195,34058243,25981238,175547849,239274384,253247334
62000196,32855942,69416422,43744079,45934364,59898699,44444981,307022288,414555159,440265987
80761895,40537343,91410746,57292158,59381442,80262647,56601803,400237588,546354714,582262385
92371421,44908498,103512981,64921816,67466083,95172240,63946045,461196920,634844418,672266429
349304466,190689245,383529720,238954117,265461938,340582415,259812387,1755478473,2392743845,2532457405
620001951,328559436,694164219,437440816,459343755,598986991,444449796,3070222891,4145551584,4402658767
807617246,405373450,914107477,572921582,593814443,802625951,566024935,4002375870,5463547130,5822623839
923714197,449084993,1035129829,649218181,674660840,951722393,639460451,4611969217,6348444187,6722664295
