2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3102769,1577409,3043593,1813973,1919016,2601815,2033769,14710586,20242846,22004819
5502910,2689840,5429124,3293172,3240153,4526432,3432352,25490444,34637442,37805766
7170356,3286013,7023036,4290581,4171265,6002753,4315650,33005641,45120264,49366596
8192711,3633820,7867993,4852759,4755191,7034726,4850130,37795028,51905833,56340350
31027694,15774094,30435881,18139771,19190159,26018136,20337674,147105871,202429249,220048187
55029107,26898390,54291236,32931713,32401797,45264314,34323519,254904446,346371173,378055761
71703741,32860189,70230323,42905840,41712644,60027530,43156732,330056000,451205353,493665941
81927123,36338200,78679949,48527609,47551922,70347253,48501328,377950275,519058309,563403503
310276955,157740941,304358798,181397730,191901601,260181352,203376746,1471058701,2024292515,2200481879
550291071,268981359,542912366,329317135,324017990,452643111,343235172,2549044447,3463714759,3780557620
717037256,328601918,702295999,429058419,417126438,600275302,431567334,3300559998,4512053546,4936659417
819271236,363382025,786799495,485276112,475519226,703472515,485013269,3779502778,5190583085,5634035018
